Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1999,0.1846,0.1846,0.0000,11845.9465,11845.9465
2000,0.0372,0.0236,0.0135,11701.9970,11549.1479
2001,-0.0063,-0.0173,0.0110,11978.0978,11691.7911
2002,-0.0375,-0.0504,0.0130,11810.9475,11374.3009
2003,0.4084,0.3853,0.0230,16733.1511,15851.0482
2004,0.1189,0.0740,0.0449,18911.9623,17195.3105
2005,0.1659,0.1415,0.0243,21521.5328,19153.8269
2006,0.1410,0.0966,0.0444,26563.8524,22747.4841
2007,0.1547,0.1357,0.0189,31325.7005,26358.8355
2008,-0.1116,-0.1472,0.0356,26972.1912,21757.8584
2009,0.3276,0.2838,0.0438,35930.8840,28029.0901
2010,0.1804,0.1406,0.0399,39525.0526,29769.1584
2011,0.0229,-0.0188,0.0417,40905.2508,29560.0888
2012,0.0735,0.0391,0.0344,44891.9068,31414.1631
2013,0.2155,0.2068,0.0088,57011.3604,39621.0759
2014,0.1391,0.1056,0.0335,62557.9199,42183.4197
2015,-0.0610,-0.0940,0.0330,59124.1283,38484.0985
2016,0.1023,0.0839,0.0184,63871.9424,40875.4763
2017,0.2090,0.1901,0.0189,78865.3264,49688.5075
2018,-0.0731,-0.1110,0.0379,77882.0164,47076.8304
2019,0.0712,0.0490,0.0222,84390.6311,49960.8623
2020,0.1961,0.1961,-0.0000,100115.5379,59266.4572
2021,0.1740,0.1042,0.0699,119170.8290,66349.3845
2022,-0.0355,-0.0546,0.0191,110398.3166,60167.5440
2023,0.0307,0.0309,-0.0002,117150.1315,63868.4181
2024,0.1499,0.1257,0.0242,133608.7793,71309.1079
2025,0.1568,0.1362,0.0206,161256.3797,84560.8850
2026,0.0721,0.0045,0.0675,182696.5104,89801.1873
