Date,Pre_Tax_Value,After_Tax_Value,Pre_Tax_Return,After_Tax_Return,Tax_Paid_Cumulative,BIL_Weight,Holdings,Num_Holdings
2003-02-28,11943.315264,11434.921613,0.002729,0.002729,514.788620,0.666667,"IGOV,IAU,BIL",3
2003-03-31,11814.297164,11311.395454,-0.010803,-0.010803,514.788620,0.833333,"IGOV,BIL",2
2003-04-30,11916.804972,11409.539790,0.008677,0.008677,514.788620,0.166667,"IGOV,BIL",2
2003-05-31,11989.219842,11478.872161,0.006077,0.006077,514.788620,0.000000,"IGOV,IAU,VBK,VWO,VTV,MTUM",6
2003-06-30,12225.235053,11704.840863,0.019686,0.019686,514.788620,0.000000,"IGOV,IAU,VBK,VWO,VTV,MTUM",6
2003-07-31,12559.898110,12025.258246,0.027375,0.027375,514.788620,0.000000,"IAU,VBK,VWO,VTV,MTUM,VBR",6
2003-08-31,13181.757501,12620.646815,0.049511,0.049511,514.788620,0.000000,"IAU,VBK,VWO,VTV,VBR,VEA",6
2003-09-30,13236.660525,12673.212770,0.004165,0.004165,514.788620,0.000000,"IAU,VBK,VWO,VTV,VBR,VEA",6
2003-10-31,14275.542834,13667.872754,0.078485,0.078485,514.788620,0.000000,"IAU,VBK,VWO,VBR,VEA",5
2003-11-30,14794.212867,14164.464449,0.036333,0.036333,514.788620,0.000000,"IAU,VBK,VWO,VBR,VEA,GSG",6
2003-12-31,15383.822620,14410.524334,0.039854,0.017372,833.240444,0.000000,"IAU,VBK,VWO,VBR,VEA,VTV",6
2004-01-31,15575.327789,14592.417809,0.012448,0.012622,833.240444,0.000000,"IAU,VBK,VWO,VBR,VEA,VTV",6
2004-02-29,15926.733485,14921.638587,0.022562,0.022561,833.240444,0.000000,"IAU,VBK,VWO,VBR,VEA,VTV",6
2004-03-31,16028.258254,15016.756249,0.006374,0.006374,833.240444,0.000000,"IAU,VBK,VWO,VBR,VEA,GSG",6
2004-04-30,15013.656065,14066.182861,-0.063301,-0.063301,833.240444,0.000000,"VBK,VWO,VBR,VEA,GSG,VTV",6
2004-05-31,15206.865447,14247.199296,0.012869,0.012869,833.240444,0.000000,"VBK,VWO,VBR,VEA,GSG,VTV",6
